,count,cat,subcat,subsubcat,combined_cats,combined_cats_lower,processed_comps,sentiment_scores
3977,34,Department for the Aging,Friendly Visiting Program for Seniors - Volunteer,Information about how to volunteer for the Friendly Visiting Program for Seniors.,Department for the Aging Friendly Visiting Program for Seniors - Volunteer Information about how to volunteer for the Friendly Visiting Program for Seniors.,department for the aging friendly visiting program for seniors - volunteer information about how to volunteer for the friendly visiting program for seniors.,department aging friendly visiting program seniors volunteer information volunteer friendly visiting program seniors,"{'neg': 0.0, 'neu': 0.632, 'pos': 0.368, 'compound': 0.7506}"
3978,34,Department of Parks and Recreation,Lifeguard Complaint - Public Beach or Pool,Complaint about a lifeguard at a public beach or pool.,Department of Parks and Recreation Lifeguard Complaint - Public Beach or Pool Complaint about a lifeguard at a public beach or pool.,department of parks and recreation lifeguard complaint - public beach or pool complaint about a lifeguard at a public beach or pool.,department parks parks recreation parks recreation lifeguard complaint public beach pool complaint lifeguard public beach pool,"{'neg': 0.239, 'neu': 0.761, 'pos': 0.0, 'compound': -0.5267}"
3979,34,3-1-1 Call Center,Find a Consulate,Contact information for foreign consulate offices.,3-1-1 Call Center Find a Consulate Contact information for foreign consulate offices.,3-1-1 call center find a consulate contact information for foreign consulate offices.,call center find constructionulate contact information foreign constructionulate offices,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
3980,34,,Temporary Work Schedule Change,Get help for workers or employers with questions about temporary schedule change requirements., Temporary Work Schedule Change Get help for workers or employers with questions about temporary schedule change requirements., temporary work schedule change get help for workers or employers with questions about temporary schedule change requirements.,temporary work schedule change get help workers employers general informations temporary schedule change requirements,"{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.4019}"
3981,34,Department of Health and Mental Hygiene,Illegal Animal Being Sold,Report of a store or person selling a wild or illegal animal.,Department of Health and Mental Hygiene Illegal Animal Being Sold Report of a store or person selling a wild or illegal animal.,department of health and mental hygiene illegal animal being sold report of a store or person selling a wild or illegal animal.,department health mental hygiene illegal animal sold report store person selling wild illegal animal,"{'neg': 0.375, 'neu': 0.625, 'pos': 0.0, 'compound': -0.802}"
3982,34,,Gynecologist,Get gynecology services., Gynecologist Get gynecology services., gynecologist get gynecology services.,gynecologist get gynecology services,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
3983,34,,Oral Health,Learn how to prevent tooth decay and gum disease and get tips on keep your mouth healthy., Oral Health Learn how to prevent tooth decay and gum disease and get tips on keep your mouth healthy., oral health learn how to prevent tooth decay and gum disease and get tips on keep your mouth healthy.,oral health learn prevent tooth decay gum disease get tips keep mouth healthy,"{'neg': 0.164, 'neu': 0.606, 'pos': 0.23, 'compound': 0.0258}"
3984,34,,Charity Registration,Apply to register a charity., Charity Registration Apply to register a charity., charity registration apply to register a charity.,charity registration apply register charity,"{'neg': 0.0, 'neu': 0.349, 'pos': 0.651, 'compound': 0.6808}"
3985,34,Department of Consumer Affairs,Employment Agency Law Poster,Poster required for licensed employment agencies.,Department of Consumer Affairs Employment Agency Law Poster Poster required for licensed employment agencies.,department of consumer affairs employment agency law poster poster required for licensed employment agencies.,department constructionumer affairs employment agency law poster poster required licensed employment agencies,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
3986,34,,Rain Garden,Learn about rain gardens that manage stormwater runoff from streets and sidewalks., Rain Garden Learn about rain gardens that manage stormwater runoff from streets and sidewalks., rain garden learn about rain gardens that manage stormwater runoff from streets and sidewalks.,rain garden learn rain gardens manage stormwater runoff streets sidewalks,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
3987,34,3-1-1 Call Center,Retail Store License,You do not need a license to operate a retail store.,3-1-1 Call Center Retail Store License You do not need a license to operate a retail store.,3-1-1 call center retail store license you do not need a license to operate a retail store.,call center retail store license need license operate retail store,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
3988,34,Department of Health and Mental Hygiene,Affordable Care Act Open Enrollment Flyer,Flyer about how NYC residents can sign up for health insurance.,Department of Health and Mental Hygiene Affordable Care Act Open Enrollment Flyer Flyer about how NYC residents can sign up for health insurance.,department of health and mental hygiene affordable care act open enrollment flyer flyer about how nyc residents can sign up for health insurance.,department health mental hygiene affordable care act open enrollment flyer flyer nyc residents sign health insurance,"{'neg': 0.0, 'neu': 0.824, 'pos': 0.176, 'compound': 0.4939}"
3989,34,Department of Consumer Affairs,Pet Grooming Permit - Renew or Status,Status of pending applications and information on renewal and expiration.,Department of Consumer Affairs Pet Grooming Permit - Renew or Status Status of pending applications and information on renewal and expiration.,department of consumer affairs pet grooming permit - renew or status status of pending applications and information on renewal and expiration.,department constructionumer affairs pet grooming permit renew status status pending applications information renewal expiration,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
3990,34,Department of Sanitation,NYC Compost Project - Manhattan,Information about composting in Manhattan.,Department of Sanitation NYC Compost Project - Manhattan Information about composting in Manhattan.,department of sanitation nyc compost project - manhattan information about composting in manhattan.,department sanitation waste nyc compost project manhattan information composting manhattan,"{'neg': 0.237, 'neu': 0.763, 'pos': 0.0, 'compound': -0.4215}"
3991,34,Department of Transportation,Unusable Bicycle Chained to Private Bike Rack,Request for removal of an unusable bicycle from a privately-owned bike rack or shelter.,Department of Transportation Unusable Bicycle Chained to Private Bike Rack Request for removal of an unusable bicycle from a privately-owned bike rack or shelter.,department of transportation unusable bicycle chained to private bike rack request for removal of an unusable bicycle from a privately-owned bike rack or shelter.,department transit transportation unusable bike chained private bike rack request removal unusable bike privatelyowned bike rack shelter,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
3992,34,Department of Parks and Recreation,Report a Private Tree Planting,Report that you planted a tree on private property as part of the Million Trees program.,Department of Parks and Recreation Report a Private Tree Planting Report that you planted a tree on private property as part of the Million Trees program.,department of parks and recreation report a private tree planting report that you planted a tree on private property as part of the million trees program.,department parks parks recreation parks recreation report private tree planting report planted tree private property building part million trees program,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
3993,34,,Consumer Tips for Seniors,Learn how older adults can protect themselves from financial fraud and scams., Consumer Tips for Seniors Learn how older adults can protect themselves from financial fraud and scams., consumer tips for seniors learn how older adults can protect themselves from financial fraud and scams.,constructionumer tips seniors learn older adults protect financial fraud scams,"{'neg': 0.442, 'neu': 0.407, 'pos': 0.151, 'compound': -0.7184}"
3994,34,NYC Health and Hospitals,Women's Health - Mammogram,Location of a public hospital or clinic offering mammograms and breast examinations.,NYC Health and Hospitals Women's Health - Mammogram Location of a public hospital or clinic offering mammograms and breast examinations.,nyc health and hospitals women's health - mammogram location of a public hospital or clinic offering mammograms and breast examinations.,nyc health hospitals womens health mammogram location public hospital clinic offering mammograms breast examinations,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
3995,34,,City Souvenirs and Books,Buy New York City souvenirs or government publications., City Souvenirs and Books Buy New York City souvenirs or government publications., city souvenirs and books buy new york city souvenirs or government publications.,city souvenirs books buy new york city souvenirs government publications,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
3996,34,Department of Buildings,Builders Pavement Plan Application - Queens,"Application to build or alter a curb, roadway, or sidewalk.","Department of Buildings Builders Pavement Plan Application - Queens Application to build or alter a curb, roadway, or sidewalk.","department of buildings builders pavement plan application - queens application to build or alter a curb, roadway, or sidewalk.","department buildings builders pavement plan application queens application build alter curb, roads, sidewalk","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
3997,34,,Traffic Trends,Learn about or report traffic patterns or trends., Traffic Trends Learn about or report traffic patterns or trends., traffic trends learn about or report traffic patterns or trends.,traffic trends learn report traffic patterns trends,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
3998,34,,NYCHA Emergency Transfer,"NYCHA Emergency Transfer information for victims of domestic violence, sexual abuse, or intimidation."," NYCHA Emergency Transfer NYCHA Emergency Transfer information for victims of domestic violence, sexual abuse, or intimidation."," nycha emergency transfer nycha emergency transfer information for victims of domestic violence, sexual abuse, or intimidation.","nycha emergency transfer nycha emergency transfer information victims domestic violence, sexual abuse, intimidation","{'neg': 0.727, 'neu': 0.273, 'pos': 0.0, 'compound': -0.9559}"
3999,34,New York Courts,Divorce and Separation - Staten Island,Information about divorce proceedings in Staten Island.,New York Courts Divorce and Separation - Staten Island Information about divorce proceedings in Staten Island.,new york courts divorce and separation - staten island information about divorce proceedings in staten island.,new york courts divorce separation staten island information divorce proceedings staten island,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
4000,34,,Rat Poison Sign,Learn about rat poison signs posted in neighborhoods., Rat Poison Sign Learn about rat poison signs posted in neighborhoods., rat poison sign learn about rat poison signs posted in neighborhoods.,rat poison sign learn rat poison signs posted neighborhoods,"{'neg': 0.5, 'neu': 0.5, 'pos': 0.0, 'compound': -0.7906}"
4001,34,Department of Finance,Court and Trust Fund Claim - General Information,Information about claiming money from the Court and Trust Fund Account.,Department of Finance Court and Trust Fund Claim - General Information Information about claiming money from the Court and Trust Fund Account.,department of finance court and trust fund claim - general information information about claiming money from the court and trust fund account.,department finance court trust fund claim general information information claiming money court trust fund account,"{'neg': 0.0, 'neu': 0.663, 'pos': 0.337, 'compound': 0.765}"
4002,34,,Cancer,Learn about different types of cancer., Cancer Learn about different types of cancer., cancer learn about different types of cancer.,cancer learn different types cancer,"{'neg': 0.746, 'neu': 0.254, 'pos': 0.0, 'compound': -0.8689}"
4003,33,Department of Transportation,"Red Light Camera - New, Removal or Complaint","Request red light camera installation or removal, or make a complaint.","Department of Transportation Red Light Camera - New, Removal or Complaint Request red light camera installation or removal, or make a complaint.","department of transportation red light camera - new, removal or complaint request red light camera installation or removal, or make a complaint.","department transit transportation red light camera new, removal complaint request red light camera installation removal, make complaint","{'neg': 0.227, 'neu': 0.773, 'pos': 0.0, 'compound': -0.5267}"
4004,33,Department of Finance,Pay a Bus Lane Camera Violation - Mobile App,Pay a bus lane camera violation using a mobile app.,Department of Finance Pay a Bus Lane Camera Violation - Mobile App Pay a bus lane camera violation using a mobile app.,department of finance pay a bus lane camera violation - mobile app pay a bus lane camera violation using a mobile app.,department finance pay bus lane camera violation mobile app pay bus lane camera violation using mobile app,"{'neg': 0.414, 'neu': 0.586, 'pos': 0.0, 'compound': -0.802}"
4005,33,Department of Consumer Affairs,Overcharge - Retail Store,Report of a retail store charging more than the posted price for goods or services.,Department of Consumer Affairs Overcharge - Retail Store Report of a retail store charging more than the posted price for goods or services.,department of consumer affairs overcharge - retail store report of a retail store charging more than the posted price for goods or services.,department constructionumer affairs overcharge retail store report retail store charging posted price goods services,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
4006,33,,Lead Paint Repair Grant,Learn about financial assistance to make lead paint repairs., Lead Paint Repair Grant Learn about financial assistance to make lead paint repairs., lead paint repair grant learn about financial assistance to make lead paint repairs.,lead paint repair grant learn financial assistance make lead paint repairs,"{'neg': 0.0, 'neu': 0.8, 'pos': 0.2, 'compound': 0.3612}"
4007,33,,Shut the Front Door,Learn about an education and outreach campaign for the law requiring certain businesses to close their doors when running air conditioning systems., Shut the Front Door Learn about an education and outreach campaign for the law requiring certain businesses to close their doors when running air conditioning systems., shut the front door learn about an education and outreach campaign for the law requiring certain businesses to close their doors when running air conditioning systems.,shut front door learn education outreach campaign law requiring certain businesses close doors running air conditioning systems,"{'neg': 0.0, 'neu': 0.781, 'pos': 0.219, 'compound': 0.4939}"
4008,33,,General Vendor Distributor License,Apply for or renew a license to drive goods to a public space so they can be sold to a general vendor., General Vendor Distributor License Apply for or renew a license to drive goods to a public space so they can be sold to a general vendor., general vendor distributor license apply for or renew a license to drive goods to a public space so they can be sold to a general vendor.,general vendor distributor license apply renew license drive goods public space sold general vendor,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
4009,33,Department of Environmental Protection,Water Leak Survey Request,Free survey to find the source of water waste in a residential building.,Department of Environmental Protection Water Leak Survey Request Free survey to find the source of water waste in a residential building.,department of environmental protection water leak survey request free survey to find the source of water waste in a residential building.,department environmental protection water leak survey request free survey find source water waste residential building,"{'neg': 0.254, 'neu': 0.585, 'pos': 0.161, 'compound': -0.2263}"
4010,33,,Exporting Goods,Learn about exporting goods., Exporting Goods Learn about exporting goods., exporting goods learn about exporting goods.,exporting goods learn exporting goods,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
4011,33,,City Council Member Complaint,Report a problem with a City Council Member., City Council Member Complaint Report a problem with a City Council Member., city council member complaint report a problem with a city council member.,city council member complaint report problem city council member,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.5994}"
4012,33,3-1-1 Call Center,SCRIE - Certification for SCRIE Renewal Without a Renewal Lease,Form to certify that a renewal lease has not been provided by the landlord or managing agent at the time of SCRIE renewal.,3-1-1 Call Center SCRIE - Certification for SCRIE Renewal Without a Renewal Lease Form to certify that a renewal lease has not been provided by the landlord or managing agent at the time of SCRIE renewal.,3-1-1 call center scrie - certification for scrie renewal without a renewal lease form to certify that a renewal lease has not been provided by the landlord or managing agent at the time of scrie renewal.,call center scrie certification scrie renewal without renewal lease form certify renewal lease provided landlord managing agent time scrie renewal,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
4013,33,,Water Hardness,Learn about water hardness., Water Hardness Learn about water hardness., water hardness learn about water hardness.,water hardness learn water hardness,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
4014,33,Department of Finance,DRIE - Reapply for Benefits Due to Permanent Loss of Income,DRIE recipients may reapply for their benefits if they have experienced a permanent loss of 20% or more of their combined household income.,Department of Finance DRIE - Reapply for Benefits Due to Permanent Loss of Income DRIE recipients may reapply for their benefits if they have experienced a permanent loss of 20% or more of their combined household income.,department of finance drie - reapply for benefits due to permanent loss of income drie recipients may reapply for their benefits if they have experienced a permanent loss of 20% or more of their combined household income.,department finance drie reapply benefits due permanent loss income drie recipients may reapply benefits experienced permanent loss combined household income,"{'neg': 0.178, 'neu': 0.62, 'pos': 0.202, 'compound': 0.1531}"
4015,33,,Process Serving Agency License,"Apply for or renew a license to assign, distribute, or deliver process to another for actual service."," Process Serving Agency License Apply for or renew a license to assign, distribute, or deliver process to another for actual service."," process serving agency license apply for or renew a license to assign, distribute, or deliver process to another for actual service.","process serving agency license apply renew license assign, distribute, deliver process another actual service","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
4016,33,Department of Buildings,No Penalty Deck and Porch Inspection Program,Property owners can request a free deck and porch inspection.,Department of Buildings No Penalty Deck and Porch Inspection Program Property owners can request a free deck and porch inspection.,department of buildings no penalty deck and porch inspection program property owners can request a free deck and porch inspection.,department buildings penalty deck porch inspection inspection code enforcement violation violationection program property building owners request free deck porch inspection inspection code enforcement violation violationection,"{'neg': 0.279, 'neu': 0.623, 'pos': 0.098, 'compound': -0.7269}"
4017,33,Department of Health and Mental Hygiene,Lead Poisoning Prevention and Healthy Homes Workshops - General Public,Get information about workshops on healthy homes and lead poisoning prevention.,Department of Health and Mental Hygiene Lead Poisoning Prevention and Healthy Homes Workshops - General Public Get information about workshops on healthy homes and lead poisoning prevention.,department of health and mental hygiene lead poisoning prevention and healthy homes workshops - general public get information about workshops on healthy homes and lead poisoning prevention.,department health mental hygiene lead poisoning prevention healthy homes workshops general public get information workshops healthy homes lead poisoning prevention,"{'neg': 0.262, 'neu': 0.552, 'pos': 0.186, 'compound': -0.4939}"
4018,33,Department of Consumer Affairs,Funeral Home Pricing Complaint,Complaint about a funeral establishment.,Department of Consumer Affairs Funeral Home Pricing Complaint Complaint about a funeral establishment.,department of consumer affairs funeral home pricing complaint complaint about a funeral establishment.,department constructionumer affairs funeral home pricing complaint complaint funeral establishment,"{'neg': 0.61, 'neu': 0.39, 'pos': 0.0, 'compound': -0.8126}"
4019,33,Department of Education,School Survey,"Information about the annual survey for parents, students, and staff of public schools.","Department of Education School Survey Information about the annual survey for parents, students, and staff of public schools.","department of education school survey information about the annual survey for parents, students, and staff of public schools.","department education school survey information annual survey parents, students, staff public schools","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
4020,33,Department for the Aging,Caregiving Support - Western Queens,"Referrals for family or friends caring for a person 60 or older, and for seniors caring for a person of any age.","Department for the Aging Caregiving Support - Western Queens Referrals for family or friends caring for a person 60 or older, and for seniors caring for a person of any age.","department for the aging caregiving support - western queens referrals for family or friends caring for a person 60 or older, and for seniors caring for a person of any age.","department aging caregiving support western queens referrals family friends caring person older, seniors caring person age","{'neg': 0.0, 'neu': 0.496, 'pos': 0.504, 'compound': 0.9042}"
4021,33,Department of Correction,Inmate Notification of Family Illness or Death,Inform an inmate that a family member has died or is seriously ill.,Department of Correction Inmate Notification of Family Illness or Death Inform an inmate that a family member has died or is seriously ill.,department of correction inmate notification of family illness or death inform an inmate that a family member has died or is seriously ill.,department correction inmate notification family illness death inform inmate family member died seriously ill,"{'neg': 0.62, 'neu': 0.38, 'pos': 0.0, 'compound': -0.9287}"
4022,33,,Oath of Office,Learn about filing an Oath of Office., Oath of Office Learn about filing an Oath of Office., oath of office learn about filing an oath of office.,oath office learn filing oath office,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
4023,33,Taxi and Limousine Commission,Car Service Driver Complaint - Cell Phone Used,Complaint about a car service driver using a cell phone while driving.,Taxi and Limousine Commission Car Service Driver Complaint - Cell Phone Used Complaint about a car service driver using a cell phone while driving.,taxi and limousine commission car service driver complaint - cell phone used complaint about a car service driver using a cell phone while driving.,taxi limousine commission car service driver complaint cell phone used complaint car service driver using cell phone driving,"{'neg': 0.216, 'neu': 0.784, 'pos': 0.0, 'compound': -0.5267}"
4024,33,,Zika Virus,"Learn about the Zika virus, which is spread by certain kinds of mosquitoes."," Zika Virus Learn about the Zika virus, which is spread by certain kinds of mosquitoes."," zika virus learn about the zika virus, which is spread by certain kinds of mosquitoes.","zika virus learn zika virus, spread certain kinds mosquitoes","{'neg': 0.0, 'neu': 0.792, 'pos': 0.208, 'compound': 0.2732}"
4025,33,NYC and Company,Find a Museum,Information about museums.,NYC and Company Find a Museum Information about museums.,nyc and company find a museum information about museums.,nyc company find museum information museums,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
4026,33,U.S. Department of Agriculture,SNAP (Food Stamps) Authorized Retailer,Information for stores that would like to accept SNAP benefits.,U.S. Department of Agriculture SNAP (Food Stamps) Authorized Retailer Information for stores that would like to accept SNAP benefits.,u.s. department of agriculture snap (food stamps) authorized retailer information for stores that would like to accept snap benefits.,us department agriculture snap food stamps authorized retailer information stores would like accept snap benefits,"{'neg': 0.0, 'neu': 0.609, 'pos': 0.391, 'compound': 0.7717}"
4027,33,,Property Management and Maintenance Resources,Get introductory and advanced courses in building management and maintenance., Property Management and Maintenance Resources Get introductory and advanced courses in building management and maintenance., property management and maintenance resources get introductory and advanced courses in building management and maintenance.,property building management maintenance resources get introductory advanced courses building management maintenance,"{'neg': 0.0, 'neu': 0.846, 'pos': 0.154, 'compound': 0.25}"
4028,33,3-1-1 Call Center,Find a Park,Information about City parks.,3-1-1 Call Center Find a Park Information about City parks.,3-1-1 call center find a park information about city parks.,call center find park information city parks parks recreation,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
4029,33,Department of Consumer Affairs,Electronics Store License - Apply,"License required to sell audio, video, photo, or computer equipment.","Department of Consumer Affairs Electronics Store License - Apply License required to sell audio, video, photo, or computer equipment.","department of consumer affairs electronics store license - apply license required to sell audio, video, photo, or computer equipment.","department constructionumer affairs electronics store license apply license required sell audio, video, photo, computer equipment","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
4030,33,Department of Consumer Affairs,Process Serving Agency License - Apply,"License required to assign, distribute, or deliver process to another for actual service.","Department of Consumer Affairs Process Serving Agency License - Apply License required to assign, distribute, or deliver process to another for actual service.","department of consumer affairs process serving agency license - apply license required to assign, distribute, or deliver process to another for actual service.","department constructionumer affairs process serving agency license apply license required assign, distribute, deliver process another actual service","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
4031,32,New York City Police Department,Rifle or Shotgun Permit,Request or renewal for a rifle or shotgun permit.,New York City Police Department Rifle or Shotgun Permit Request or renewal for a rifle or shotgun permit.,new york city police department rifle or shotgun permit request or renewal for a rifle or shotgun permit.,new york city police department rifle shotgun permit request renewal rifle shotgun permit,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
4032,32,Department of Consumer Affairs,Tattoo Temporary License - Apply,License required to give tattoos at a convention or special event.,Department of Consumer Affairs Tattoo Temporary License - Apply License required to give tattoos at a convention or special event.,department of consumer affairs tattoo temporary license - apply license required to give tattoos at a convention or special event.,department constructionumer affairs tattoo temporary license apply license required give tattoos convention special event,"{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.4019}"
4033,32,,Sidewalk Washing Complaint,Report someone washing a sidewalk outside of permitted hours., Sidewalk Washing Complaint Report someone washing a sidewalk outside of permitted hours., sidewalk washing complaint report someone washing a sidewalk outside of permitted hours.,sidewalk washing complaint report someone washing sidewalk outside permitted hours,"{'neg': 0.196, 'neu': 0.804, 'pos': 0.0, 'compound': -0.296}"
4034,32,New York City Housing Authority,Bed Bug Complaint - Public Housing - Brooklyn,Complaint about bed bugs on NYCHA property.,New York City Housing Authority Bed Bug Complaint - Public Housing - Brooklyn Complaint about bed bugs on NYCHA property.,new york city housing authority bed bug complaint - public housing - brooklyn complaint about bed bugs on nycha property.,new york city housing authority bed bug complaint public housing brooklyn complaint bed public health bugs pest control nycha property building,"{'neg': 0.186, 'neu': 0.759, 'pos': 0.055, 'compound': -0.4767}"
4035,32,Department of Consumer Affairs,Car Wash Labor Violation,Complaint about labor violations by a commercial car wash.,Department of Consumer Affairs Car Wash Labor Violation Complaint about labor violations by a commercial car wash.,department of consumer affairs car wash labor violation complaint about labor violations by a commercial car wash.,department constructionumer affairs car wash labor violation complaint labor violations commercial car wash,"{'neg': 0.468, 'neu': 0.532, 'pos': 0.0, 'compound': -0.8316}"
4036,32,,Community Action Program,"Learn about community services for seniors, immigrants, youth, and families."," Community Action Program Learn about community services for seniors, immigrants, youth, and families."," community action program learn about community services for seniors, immigrants, youth, and families.","community action program learn community services seniors, immigrants, youth, families","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
4037,32,City University of New York (CUNY),CUNY - Accelerated Study in Associate Programs,Information about the cost-free degree program at the City University of New York.,City University of New York (CUNY) CUNY - Accelerated Study in Associate Programs Information about the cost-free degree program at the City University of New York.,city university of new york (cuny) cuny - accelerated study in associate programs information about the cost-free degree program at the city university of new york.,city university new york cuny cuny accelerated study associate programs information costfree degree program city university new york,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
4038,32,,Industrial Waste Discharge Permit,Apply for a permit required to legally discharge industrial waste into public sewers., Industrial Waste Discharge Permit Apply for a permit required to legally discharge industrial waste into public sewers., industrial waste discharge permit apply for a permit required to legally discharge industrial waste into public sewers.,industrial waste discharge permit apply permit required legally discharge industrial waste public sewers,"{'neg': 0.329, 'neu': 0.588, 'pos': 0.082, 'compound': -0.6369}"
4039,32,Department of Sanitation,How to Recycle Flyer - English and Chinese,Flyer that details items which can and cannot be recycled.,Department of Sanitation How to Recycle Flyer - English and Chinese Flyer that details items which can and cannot be recycled.,department of sanitation how to recycle flyer - english and chinese flyer that details items which can and cannot be recycled.,department sanitation waste recycle flyer english chinese flyer details items cannot recycled,"{'neg': 0.203, 'neu': 0.797, 'pos': 0.0, 'compound': -0.4215}"
4040,32,,Secondhand Smoke,Learn about the health risks of secondhand smoke., Secondhand Smoke Learn about the health risks of secondhand smoke., secondhand smoke learn about the health risks of secondhand smoke.,secondhand smoke learn health risks secondhand smoke,"{'neg': 0.259, 'neu': 0.741, 'pos': 0.0, 'compound': -0.2732}"
4041,32,Department of Consumer Affairs,Seasonal Food Cart Vendor Permit - Renew or Status,Status of pending applications and information on renewal and expiration.,Department of Consumer Affairs Seasonal Food Cart Vendor Permit - Renew or Status Status of pending applications and information on renewal and expiration.,department of consumer affairs seasonal food cart vendor permit - renew or status status of pending applications and information on renewal and expiration.,department constructionumer affairs seasonal food cart vendor permit renew status status pending applications information renewal expiration,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
4042,32,,Beacon Community Centers,"Find a school-based community center for children, youth, and adults."," Beacon Community Centers Find a school-based community center for children, youth, and adults."," beacon community centers find a school-based community center for children, youth, and adults.","beacon community centers find schoolbased community center children, youth, adults","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
4043,32,Department of Finance,Real Property Transfer Tax - Notice of Penalty and Interest Due,"Information and assistance is available for the ""Notice of Penalty and Interest Due"" received for filing the RPTT after the 30 day deadline.","Department of Finance Real Property Transfer Tax - Notice of Penalty and Interest Due Information and assistance is available for the ""Notice of Penalty and Interest Due"" received for filing the RPTT after the 30 day deadline.","department of finance real property transfer tax - notice of penalty and interest due information and assistance is available for the ""notice of penalty and interest due"" received for filing the rptt after the 30 day deadline.",department finance real property building transfer tax taxpayer treasurynotice penalty interest due information assistance available notice penalty interest due received filing rptt day deadline,"{'neg': 0.188, 'neu': 0.625, 'pos': 0.188, 'compound': 0.0}"
4044,32,Department of Buildings,Department of Buildings ID or Jobs in Penalized Status,Information for applicants with penalized Department of Buildings IDs or Jobs.,Department of Buildings Department of Buildings ID or Jobs in Penalized Status Information for applicants with penalized Department of Buildings IDs or Jobs.,department of buildings department of buildings id or jobs in penalized status information for applicants with penalized department of buildings ids or jobs.,department buildings department buildings id jobs penalized status information applicants penalized department buildings ids jobs,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
4045,32,,Students with Disabilities,Request educational support for students who are blind or have limited vision and students who are deaf or hard of hearing., Students with Disabilities Request educational support for students who are blind or have limited vision and students who are deaf or hard of hearing., students with disabilities request educational support for students who are blind or have limited vision and students who are deaf or hard of hearing.,students disabilities request educational support students blind limited vision students deaf hard hearing,"{'neg': 0.321, 'neu': 0.428, 'pos': 0.251, 'compound': -0.0772}"
4046,32,Department for the Aging,Case Management for Seniors - Complaint,Complaint about a case management agency that serves seniors age 60 and older.,Department for the Aging Case Management for Seniors - Complaint Complaint about a case management agency that serves seniors age 60 and older.,department for the aging case management for seniors - complaint complaint about a case management agency that serves seniors age 60 and older.,department aging case management seniors complaint complaint case management agency serves seniors age older,"{'neg': 0.268, 'neu': 0.732, 'pos': 0.0, 'compound': -0.5267}"
4047,32,,Property Tax Photograph,Buy a photograph from 1940 or the mid-1980s of any property in the City., Property Tax Photograph Buy a photograph from 1940 or the mid-1980s of any property in the City., property tax photograph buy a photograph from 1940 or the mid-1980s of any property in the city.,property building tax photograph buy photograph mids property building city,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
